name,kind,city,region,country,date_granted,grant,date_opened,address,lat,lon,image_file,wikipedia_url,notes,section,source_page
Glendale,public,Glendale,California,United States,"Aug 11, 1911","$12,500",,,,,,,"Demolished in 1977. Architect Paul Tuttle designed the building in the Classical Revival style; a 1940 WPA project added wings to each side. New Glendale Public Library building was built nearby and the old library demolished once the new, larger building was open.",Public libraries,List of Carnegie libraries in California
Grass Valley,public,Grass Valley,California,United States,"Jan 6, 1915","$15,000",,"207 Mill St, Grass Valley, CA 95945",39.21667,-121.06306,GrassValley_CARoyceLibarary.JPG,https://en.wikipedia.org/wiki/Grass_Valley_Public_Library,"Designed by architect William Mooser, its Classical Revival red brick facade is highlighted with numerous white pilasters.",Public libraries,List of Carnegie libraries in California
Gridley,public,Gridley,California,United States,"Jan 2, 1913","$7,000",,"519 Kentucky St, Gridley, CA 95966",39.36361,-121.69667,,,"Now a private office. Designed by Chico architect Chester Cole, in the Classical Revival style.",Public libraries,List of Carnegie libraries in California
Hanford,public,Hanford,California,United States,"Mar 20, 1903","$12,500",,"109 East Eighth St, Hanford, CA 93230",36.32750,-119.64528,Carnegie_090907_2.JPG,https://en.wikipedia.org/wiki/Hanford_Carnegie_Museum,The Hanford Carnegie Museum since 1974. Designed by the McDougall Bros. and one of California's few in the Richardson Romanesque style.,Public libraries,List of Carnegie libraries in California
Hayward,public,Hayward,California,United States,"Feb 20, 1906","$11,750",,,,,,,Demolished in 1949.,Public libraries,List of Carnegie libraries in California
Healdsburg,public,Healdsburg,California,United States,"Aug 31, 1909","$10,000",,"221 Matheson St, Healdsburg, CA 95448",38.61111,-122.86722,"Healdsburg_Carnegie_Library,_221_Matheson_St.,_Healdsburg,_CA_7-3-2010_4-29-17_PM.JPG",,"Replaced in 1988 by a new library building a few blocks away. Now serves as the Healdsburg History Museum. Classical Revival (Type B), reinforced concrete faced with a 1/2"" layer of textured white concrete, scored to resemble stone blocks.",Public libraries,List of Carnegie libraries in California
Hemet,public,Hemet,California,United States,"Nov 30, 1910","$10,000",,,,,,,"Demolished in 1969. Designed by architect S. L. Pillar, in the Classical Revival with a large raised open loggia. The new Hemet Public Library was built in 1971 on the site.",Public libraries,List of Carnegie libraries in California
Hollister,public,Hollister,California,United States,"Apr 16, 1910","$10,000",,"375 Fifth St, Hollister, CA 95023",36.85111,-121.40333,Hollistor_City_Hall.jpg,https://en.wikipedia.org/wiki/Hollister_Carnegie_Library,"Now the Hollister City Hall. Designed by architect William Binder. The low, one story Classical Revival style building is constructed of concrete scored to resemble granite block.",Public libraries,List of Carnegie libraries in California
Hollywood,public,Hollywood,California,United States,"Feb 28, 1906","$10,000",,,,,,,"Demolished in 1958. Designed by architects Marsh and Russell, one of only two California Carnegie libraries in the Tudor Revival style. In 1910 when Hollywood was annexed to Los Angeles, it became a branch library.",Public libraries,List of Carnegie libraries in California
Huntington Beach,public,Huntington Beach,California,United States,"Feb 13, 1913","$10,000",,,,,,,"Demolished in 1951. Designed by architects Tuttle and Hopkins, in an elaborate Classical Revival style, in red brick with white elements. The new Huntington Beach Public Library was built on site in 1951.",Public libraries,List of Carnegie libraries in California
Imperial,public,Imperial,California,United States,"Jan 23, 1909","$10,000",,,,,,,Designed by W. H. Weeks; heavily damaged by the 1940 El Centro earthquake and subsequently torn down.,Public libraries,List of Carnegie libraries in California
Inglewood,public,Inglewood,California,United States,"Nov 9, 1916","$10,000",,101 S Grevillea Ave,33.96167,-118.35472,"Inglewood_Public_Library,_circa_1950.jpg",,"Designed by an unknown architect in the Mission Revival and Spanish Colonial Revival styles. It was severely damaged in the 1933 Long Beach earthquake, and the city voted funds to rebuild and enlarge it. Demolished in 1967; the new Inglewood Public Library was built across Manchester Boulevard and completed in 1973. A temporary library existed on Queen Street.",Public libraries,List of Carnegie libraries in California
Lakeport,public,Lakeport,California,United States,"Nov 17, 1914","$8,000",,"200 Park St, Lakeport, CA 95453",39.04306,-122.91389,Carnegie_Library_Lakeport_California.jpg,https://en.wikipedia.org/wiki/Lakeport_Carnegie_Library,"Houses University of California, Davis scientists for Clear Lake research. Designed by architects Ward and Blohme, in an austere Classical Revival style in the city park on the shores of the lake.",Public libraries,List of Carnegie libraries in California
Lincoln,public,Lincoln,California,United States,"Dec 13, 1907","$6,000",,"590 5th St, Lincoln, CA 95648",38.89194,-121.29111,Lincoln_(California)_Public_Library.jpg,,"The Lincoln Public Library. Built in the Mediterranean Revival - Classical Revival style, with the brick and terra cotta products of notable Gladding, McBean Pottery.",Public libraries,List of Carnegie libraries in California
Livermore,public,Livermore,California,United States,"Aug 5, 1909","$10,000",,"2155 3rd St, Livermore, CA 94550",37.67944,-121.76861,Livermore_Carnegie_Library_Front_View.JPG,https://en.wikipedia.org/wiki/Livermore_Carnegie_Library_and_Park,"Now a museum, the Livermore Heritage Guild History Center. The Classical Revival building, designed by W. H. Weeks, is an example of the library as ""temple in the park,"" with its pedimented central portico supported by Greek Ionic columns and located in the center of Carnegie Park. The building's distinctive yellow brick came from the nearby Carnegie Brick Works.",Public libraries,List of Carnegie libraries in California
Lodi,public,Lodi,California,United States,"Dec 13, 1907","$9,000",,"305 W Pine St, Lodi, CA 95240",38.13444,-121.27639,"Carnegie_building_in_Lodi,_California.jpg",,"Now the ""Carnegie Forum and City Council Chambers"". The temple style Classical Revival Lodi Carnegie is notable for the incorporation of brick in the formed columns, triangular area within the pediment, and finely detailed trim.",Public libraries,List of Carnegie libraries in California
Lompoc,public,Lompoc,California,United States,"Dec 13, 1909","$10,000",,"200 South H St, Lompoc, CA 93436",34.63694,-120.45750,Lompoc_Museum.jpg,,"Now the Lompoc Museum, an historical and archeological museum. Designed by W. H. Weeks in the Classic Revival ""temple style,"" and designated Lompoc Historical Landmark No. 1.",Public libraries,List of Carnegie libraries in California
Long Beach,public,Long Beach,California,United States,"Jan 19, 1905","$30,000",,,,,,,"In 1972 the Classical Revival style library was damaged by fire, and in 1973 demolished for a new Long Beach Public Library.",Public libraries,List of Carnegie libraries in California
Los Angeles Arroyo Seco,public,Los Angeles,California,United States,"Jan 31, 1911","$210,000",,,,,,,"Designed by architect Frederick Ashley, in the Classical Revival style. Demolished in 1959.",Public libraries,List of Carnegie libraries in California
Los Angeles Boyle Heights,public,Los Angeles,California,United States,"Jan 31, 1911",—,,,,,,,"Designed by architect W.J. Dodd, in the Classical Revival style. Demolished in 1974.",Public libraries,List of Carnegie libraries in California
Los Angeles Cahuenga Branch,public,Los Angeles,California,United States,"Jan 31, 1911",—,,"4591 W Santa Monica Blvd, Los Angeles, CA 90029",34.09083,-118.28889,Cahuenga_branch_los_angeles_public_library.jpg,https://en.wikipedia.org/wiki/Cahuenga_Branch,"Designed by architect C.H. Russell, in the Italian Renaissance Revival style.",Public libraries,List of Carnegie libraries in California
Los Angeles Lincoln Heights,public,Los Angeles,California,United States,"Jan 31, 1911",—,,"2530 Workman St, Los Angeles, CA 90031",34.07611,-118.21389,"Lincoln_Heights_Branch_Library,_Los_Angeles.JPG",https://en.wikipedia.org/wiki/Lincoln_Heights_Branch,,Public libraries,List of Carnegie libraries in California
Los Angeles Vermont Square,public,Los Angeles,California,United States,"Jan 31, 1911",—,,"1201 W 48th St, Los Angeles, CA 90037",33.99972,-118.29583,"Vermont_Square_Branch_Library,_Los_Angeles.JPG",https://en.wikipedia.org/wiki/Vermont_Square_Branch,,Public libraries,List of Carnegie libraries in California
Los Angeles Vernon,public,Los Angeles,California,United States,"Jan 31, 1911",—,,,,,,,"Designed by architects Kysor and Biggar, in the Classical Revival style. The Vernon open air reading room could be converted into a closed room by means of a sliding sash. Demolished in 1974.",Public libraries,List of Carnegie libraries in California
Los Gatos,public,Los Gatos,California,United States,"Oct 17, 1901","$10,400",,,,,,,Demolished in 1954.,Public libraries,List of Carnegie libraries in California
